lat,lon,name,node,tw_open,tw_close,service_time
48.299706,14.291311,Stadtbräu Josef,7102193253,660,840,30
48.312988,14.2827156,Golden Pub,101527050,660,1320,30
48.3139914,14.2811672,Pizzeria Monte Verde,60102126,660,1320,30
48.3347652,14.3211717,Bella Casa,732183353,660,1320,30
48.3292021,14.3205236,Ost18 Asian Restaurant,52650734,660,1320,30
48.330183,14.3244242,Oase,47169221,660,840,30
48.3131786,14.2867103,Pizzeria David,47169397,660,1320,30
48.313014,14.2820103,Hamta,101527051,660,1320,30
48.30894,14.2823036,Fischerhäusl,278240642,1080,1200,30
48.3029429,14.2839991,Izakaya,34966623,660,1320,30
48.3131727,14.2849763,Mensa Kunst,101542144,660,840,30
48.3108226,14.2816596,Urbanides,257098566,1080,1320,30
48.3092192,14.2826366,Casa Corrado,101580877,660,1320,30
48.3124011,14.2871196,La Ruffa,101580750,660,840,30
48.3151916,14.2777745,Indian Vibez,103009847,660,1320,30
48.3029622,14.2908904,Gelbes Krokodil,265819543,1080,1320,30
48.3438259,14.2746348,Gasthaus Exenschläger,300693117,660,840,30
48.3056669,14.2821149,Schlosscafé,302955816,1080,1320,30
48.3052998,14.2842265,OX,1069082056,660,1320,30
48.3245154,14.258415,Kirchenwirt,101612929,660,840,30
48.3375926,14.3219552,JKU Mensa,300721135,660,1320,30
48.3056997,14.2883658,Huberei,61014988,660,1320,30
48.306116,14.2858896,WakuWaku,32532631,1080,1200,30
48.3120882,14.3006722,Hofkneipe,32567897,660,1320,30
48.335597,14.3171515,Mensa der Katholischen Hochschulgemeinde,1374017322,660,1320,30
48.3079393,14.2892517,Steakhouse,26601835,1080,1320,30
48.290699,14.2780803,La Commedia da Pasquale,51281846,660,1320,30
48.3055832,14.2831246,Restaurant Herberstein Brasserie,762669630,660,1320,30
48.3063194,14.2874975,Keintzel,132136861,660,840,30
48.2946262,14.3103669,Schlägler Stüberl,26334788,660,840,30
48.2952156,14.3135399,Gasthaus Union,1322476104,660,1320,30
48.3006129,14.3095974,Pizza Milano,32566646,660,1320,30
48.3022076,14.2915081,Lin's Cooking,26601841,1080,1200,30
48.3178402,14.2834644,Asahii,2149719313,660,840,30
48.3038554,14.2889354,Jack the Ripperl,52684344,1080,1200,30
48.3312334,14.3238817,Mensa des OÖ. Studentenwerkes,76045263,1080,1320,30
48.3467285,14.3035558,Möderlgut z'Linz,203824202,660,840,30
48.3022044,14.2979075,Blue Heaven,32308278,660,1320,30
48.3029521,14.2992346,Gasthaus zur eisernen Hand,32308083,660,1320,30
48.3055909,14.2878408,Gösser Keller,61014990,1080,1200,30
48.3067593,14.2910937,Linzer Heuriger,132219742,660,840,30
48.3067648,14.2879275,Sorbas,327559581,660,1320,30
48.3020674,14.2901903,Stadtliebe,349064752,660,840,30
48.3040297,14.2902968,Coconut,7102193250,660,840,30
48.2977643,14.2845357,I Fratelli,34966578,660,1320,30
48.3017434,14.2847161,Bangkok Smile,34966622,660,1320,30
48.2351292,14.3789666,Seerestaurant beim Campingplatz,25311470,660,1320,30
48.3118111,14.296146,Parkbad Linz Restaurant / Cafe / Lounge,852871554,660,1320,30
48.3416102,14.2709033,Verdi Restaurant & Einkehr,103085338,660,1320,30
48.3008492,14.2927764,Tom Yam,32308734,1080,1200,30
48.3144641,14.2826124,Surace,101542136,1080,1200,30
48.3119607,14.3116507,Posthof Beisl,32575835,660,1320,30
48.2768505,14.3134031,Hotel-Restaurant Turmfalke,25232903,660,1320,30
48.2978231,14.2988059,Dinghofer Buffet,1566304193,660,1320,30
48.306561,14.2898497,Panda Wok,132341563,660,1320,30
48.2867458,14.2947829,Spice Club,32218887,660,1320,30
48.3075337,14.2958528,Pizzeria Adria,32564079,660,1320,30
48.3112144,14.2805685,Thaihaus Som,101580935,660,840,30
48.29726,14.2921007,Da Vinci,32308200,660,1320,30
48.3152864,14.2900569,Pizzeria Corrado,412519371,1080,1320,30
48.3155505,14.2899052,Charly's,412519369,660,1320,30
48.3083796,14.2792157,Wirtshaus Gretzl,101580984,660,840,30
48.3002711,14.2869975,paul's Küche.Bar.Greisslerei,1028329483,1080,1200,30
48.292135,14.3051051,Il Teatro,1032306612,660,1320,30
48.2920299,14.3010645,Grillstube,32220009,660,1320,30
48.2973994,14.2969341,Royal Bombay Palace,60461529,660,840,30
48.2684437,14.2816724,Bravo!,256255155,660,840,30
48.2607567,14.3182543,Wasserwald Stüberl,155221885,660,1320,30
48.318859,14.2872335,Pho Ha Noi,47169324,1080,1320,30
48.3185895,14.2850079,Holzofenpizzeria Bon Appetito,101499766,660,1320,30
48.2989847,14.2806002,Agathon,248560406,660,1320,30
48.2928726,14.2956708,Sarang,32235847,660,840,30
48.2538124,14.284994,Alte Brücke Mostar,25300589,660,1320,30
48.2514187,14.2895523,Gusto,260287353,1080,1320,30
48.2530556,14.3132646,Atrio,25168503,660,1320,30
48.2458024,14.2854502,Dies und Das - Essen wie bei Oma,260287989,1080,1320,30
48.2489174,14.2858592,China Restaurant Glücksgarten,260287376,660,1320,30
48.2490049,14.2884153,BAUNTI Sportrestaurant,260285702,1080,1200,30
48.291427,14.2783626,Cafe-Restaurant Manolo,325885338,660,1320,30
48.2547404,14.3111389,Notos,262518897,660,840,30
48.2713492,14.2978886,Spallerhofdiele,32578771,1080,1320,30
48.27187,14.2914447,Asteri,1141994410,660,840,30
48.2748929,14.2992476,Muldenstüberl,286438705,1080,1320,30
48.2663887,14.3439109,Lunzer Wirt,1378098805,660,1320,30
48.2444745,14.3012785,La Dolce,325869236,1080,1200,30
48.2498329,14.3006373,Delphin,25300577,660,1320,30
48.2506836,14.3249059,Restaurant Löwenfeld,1377490914,660,1320,30
48.2694788,14.3069646,Restaurant Stadt München,32582702,1080,1320,30
48.2679534,14.2977552,Da Vinci,32582613,660,1320,30
48.3007331,14.2921415,Casa Italiana,1559874634,660,1320,30
48.2897641,14.3005269,Schwarzes Rössl,32218953,660,1320,30
48.2877322,14.2996021,Swagat,32225786,660,1320,30
48.3029833,14.2844667,beim Hannes,7099422921,660,840,30
48.2839335,14.305006,Poschacherstüberl,32219605,1080,1200,30
48.2673074,14.287498,Stradivari,256122955,660,1320,30
48.2495152,14.2914427,Sportbuffet Felix,321742300,1080,1320,30
48.2946456,14.2893484,SURACE Cucina Linz,611710715,660,1320,30
48.2800523,14.3098508,Mondigo Bar Restaurant,32219600,1080,1320,30
48.3142013,14.2813301,Gasthaus Goldener Adler,60102127,660,840,30
48.2915053,14.2879707,Hotel Lokomotive,206355468,660,1320,30
48.2495233,14.3080915,Fuyuan,1005265998,660,1320,30
48.2507758,14.3208453,Bino's Cafe,262524974,660,1320,30
48.2555293,14.3134345,Union Stüberl,325899754,660,840,30
48.2978077,14.2893514,Restaurant Kolping,34912896,1080,1320,30
48.3080762,14.2900277,AZUMA,921266740,660,840,30
48.2666166,14.2877578,Wok & More,256121191,660,840,30
48.3058772,14.284713,Barok Belgie Brasserie,132094440,660,1320,30
48.3001324,14.2746339,ARIS Taverna.Ouserie,146404514,1080,1320,30
48.305184,14.2898496,Rox Bar & Grill,52684335,1080,1200,30
48.3037452,14.2837244,Promenadenhof,52684403,660,840,30
48.3334866,14.2999728,Weinstadl Urfahr,76043365,660,1320,30
48.3327947,14.2921334,Pizzeria Di Napoli,3725355434,660,840,30
48.3097024,14.2845348,Jenner’s Bar und Restaurant,101580869,1080,1320,30
48.3041844,14.2913359,Orpheus,132219564,660,1320,30
48.2878429,14.3025179,Makart-Stub´n,32219007,660,1320,30
48.2996386,14.3012547,Börserie,2093801050,660,1320,30
48.3014325,14.3214771,Ciao & Jassu,157382962,660,1320,30
48.2578607,14.3605764,Amano,25151254,660,1320,30
48.2573002,14.3600872,La Bottega,25151238,660,840,30
48.2608893,14.3639235,Mete's Restaurant Sportpark Pichling,25151205,660,1320,30
48.3046287,14.2846941,Miyako Ramen,132094494,660,840,30
48.3187938,14.3086431,Luncherie,568270816,1080,1320,30
48.294446,14.2930573,Das Anton,332280010,660,1320,30
48.2970579,14.2902543,Meeresbrise,34912889,1080,1200,30
48.2961633,14.2899445,New Namastey India,34912897,660,1320,30
48.3062839,14.2832412,Kliemstein,1079734731,1080,1320,30
